0.005,2,10,111,3
0.02,2,10,0.0001,3
0.005,2,25,111,3
0.005,2,111,1111,3
0.005,1,100,1111,3
0.005,2,25,0.0001,3
0.0025,1,10,111,3
0.0025,1,25,0.0001,3
0.005,1,111,1111,3
0.02,2,25,1111,3
0.005,1,25,0.0001,3
0.02,1,10,111,3
0.0025,1,100,0.0001,3
0.0025,2,10,111,3
0.005,2,10,1111,3
0.0025,2,25,1111,3
0.02,2,25,0.0001,3
0.02,2,111,111,3
0.0025,1,10,0.0001,3
0.02,1,100,1111,3
0.0025,2,100,111,3
0.005,1,100,0.0001,3
0.02,2,111,1111,3
0.0025,2,25,111,3
0.02,2,10,111,3
0.02,2,100,111,3
0.0025,2,100,0.0001,3
0.005,2,100,1111,3
0.0025,1,111,111,3
0.02,1,25,1111,3
0.0025,2,100,1111,3
0.02,1,100,111,3
0.0025,1,25,1111,3
0.02,1,111,0.0001,3
0.0025,2,10,1111,3
0.02,1,100,0.0001,3
0.02,1,111,111,3
0.0025,1,100,1111,3
0.005,1,10,1111,3
0.02,2,111,0.0001,3
0.005,2,100,111,3
0.0025,1,111,1111,3
0.0025,1,10,1111,3
0.005,2,111,111,3
0.0025,2,25,0.0001,3
0.02,1,10,0.0001,3
0.005,1,111,111,3
0.005,1,25,111,3
0.02,1,10,1111,3
0.005,1,111,0.0001,3
